dataset:Kindle
Epoch 8 	 TEST SET: 0.0000 MAP: 0.0368, NDCG: 0.0609, PREC: 0.1600
Epoch 9 	 TEST SET: 0.0000 MAP: 0.0368, NDCG: 0.0607, PREC: 0.1596
Epoch 10 	 TEST SET: 0.0000 MAP: 0.0368, NDCG: 0.0606, PREC: 0.1593
dataset:Games
Epoch 0 	 TEST SET: 0.0000 MAP: 0.0367, NDCG: 0.0640, PREC: 0.1764
Epoch 1 	 TEST SET: 0.0000 MAP: 0.0383, NDCG: 0.0640, PREC: 0.1704
Epoch 2 	 TEST SET: 0.0000 MAP: 0.0375, NDCG: 0.0621, PREC: 0.1641
Epoch 3 	 TEST SET: 0.0000 MAP: 0.0369, NDCG: 0.0611, PREC: 0.1613
Epoch 4 	 TEST SET: 0.0000 MAP: 0.0368, NDCG: 0.0607, PREC: 0.1597
Epoch 5 	 TEST SET: 0.0000 MAP: 0.0368, NDCG: 0.0606, PREC: 0.1589
Epoch 6 	 TEST SET: 0.0000 MAP: 0.0367, NDCG: 0.0606, PREC: 0.1589
Epoch 7 	 TEST SET: 0.0000 MAP: 0.0367, NDCG: 0.0605, PREC: 0.1589
Epoch 8 	 TEST SET: 0.0000 MAP: 0.0367, NDCG: 0.0605, PREC: 0.1585
Epoch 9 	 TEST SET: 0.0000 MAP: 0.0367, NDCG: 0.0605, PREC: 0.1586
Epoch 10 	 TEST SET: 0.0000 MAP: 0.0370, NDCG: 0.0610, PREC: 0.1602
dataset:Amazon_App
dataset:Amazon_App
dataset:Amazon_App
dataset:Amazon_App
Epoch 0 	 TEST SET: 0.0000 MAP: 0.0321, NDCG: 0.0617, PREC: 0.1841
Epoch 1 	 TEST SET: 0.0000 MAP: 0.0326, NDCG: 0.0622, PREC: 0.1850
Epoch 2 	 TEST SET: 0.0000 MAP: 0.0325, NDCG: 0.0623, PREC: 0.1856
Epoch 3 	 TEST SET: 0.0000 MAP: 0.0325, NDCG: 0.0623, PREC: 0.1856
Epoch 4 	 TEST SET: 0.0000 MAP: 0.0325, NDCG: 0.0624, PREC: 0.1862
Epoch 5 	 TEST SET: 0.0000 MAP: 0.0325, NDCG: 0.0624, PREC: 0.1859
Epoch 6 	 TEST SET: 0.0000 MAP: 0.0326, NDCG: 0.0625, PREC: 0.1860
Epoch 7 	 TEST SET: 0.0000 MAP: 0.0327, NDCG: 0.0627, PREC: 0.1865
Epoch 8 	 TEST SET: 0.0000 MAP: 0.0327, NDCG: 0.0627, PREC: 0.1867
Epoch 9 	 TEST SET: 0.0000 MAP: 0.0327, NDCG: 0.0627, PREC: 0.1869
Epoch 10 	 TEST SET: 0.0000 MAP: 0.0326, NDCG: 0.0627, PREC: 0.1868
Epoch 11 	 TEST SET: 0.0000 MAP: 0.0327, NDCG: 0.0627, PREC: 0.1866
Epoch 12 	 TEST SET: 0.0000 MAP: 0.0327, NDCG: 0.0627, PREC: 0.1868
Epoch 13 	 TEST SET: 0.0000 MAP: 0.0326, NDCG: 0.0626, PREC: 0.1869
Epoch 14 	 TEST SET: 0.0000 MAP: 0.0325, NDCG: 0.0626, PREC: 0.1871
Epoch 15 	 TEST SET: 0.0000 MAP: 0.0326, NDCG: 0.0626, PREC: 0.1870
dataset:Amazon_App
Epoch 0 	 TEST SET: 0.0000 MAP: 0.0332, NDCG: 0.0634, PREC: 0.1884
Epoch 1 	 TEST SET: 0.0000 MAP: 0.0344, NDCG: 0.0649, PREC: 0.1910
Epoch 2 	 TEST SET: 0.0000 MAP: 0.0343, NDCG: 0.0645, PREC: 0.1891
Epoch 3 	 TEST SET: 0.0000 MAP: 0.0345, NDCG: 0.0645, PREC: 0.1884
Epoch 4 	 TEST SET: 0.0000 MAP: 0.0341, NDCG: 0.0646, PREC: 0.1907
Epoch 5 	 TEST SET: 0.0000 MAP: 0.0339, NDCG: 0.0643, PREC: 0.1900
Epoch 6 	 TEST SET: 0.0000 MAP: 0.0328, NDCG: 0.0630, PREC: 0.1873
Epoch 7 	 TEST SET: 0.0000 MAP: 0.0321, NDCG: 0.0619, PREC: 0.1849
Epoch 8 	 TEST SET: 0.0000 MAP: 0.0310, NDCG: 0.0606, PREC: 0.1824
Epoch 9 	 TEST SET: 0.0000 MAP: 0.0306, NDCG: 0.0599, PREC: 0.1812
Epoch 10 	 TEST SET: 0.0000 MAP: 0.0297, NDCG: 0.0585, PREC: 0.1773
Epoch 11 	 TEST SET: 0.0000 MAP: 0.0291, NDCG: 0.0578, PREC: 0.1762
Epoch 12 	 TEST SET: 0.0000 MAP: 0.0285, NDCG: 0.0570, PREC: 0.1741
Epoch 13 	 TEST SET: 0.0000 MAP: 0.0282, NDCG: 0.0567, PREC: 0.1736
Epoch 14 	 TEST SET: 0.0000 MAP: 0.0282, NDCG: 0.0566, PREC: 0.1734
Epoch 15 	 TEST SET: 0.0000 MAP: 0.0286, NDCG: 0.0570, PREC: 0.1736
dataset:Amazon_App
Epoch 0 	 TEST SET: 0.0000 MAP: 0.0329, NDCG: 0.0631, PREC: 0.1877
Epoch 1 	 TEST SET: 0.0000 MAP: 0.0341, NDCG: 0.0648, PREC: 0.1916
Epoch 2 	 TEST SET: 0.0000 MAP: 0.0339, NDCG: 0.0646, PREC: 0.1916
Epoch 3 	 TEST SET: 0.0000 MAP: 0.0340, NDCG: 0.0646, PREC: 0.1913
Epoch 4 	 TEST SET: 0.0000 MAP: 0.0340, NDCG: 0.0646, PREC: 0.1905
Epoch 5 	 TEST SET: 0.0000 MAP: 0.0335, NDCG: 0.0641, PREC: 0.1905
dataset:Amazon_App
dataset:Amazon_App
Epoch 0 	 TEST SET MAP: 0.0308, NDCG: 0.0485, PREC: 0.1130
Epoch 1 	 TEST SET MAP: 0.0316, NDCG: 0.0495, PREC: 0.1148
Epoch 2 	 TEST SET MAP: 0.0319, NDCG: 0.0498, PREC: 0.1154
Epoch 3 	 TEST SET MAP: 0.0319, NDCG: 0.0496, PREC: 0.1144
Epoch 4 	 TEST SET MAP: 0.0319, NDCG: 0.0500, PREC: 0.1164
Epoch 5 	 TEST SET MAP: 0.0312, NDCG: 0.0494, PREC: 0.1159
dataset:Amazon_App
Epoch 0 	 TEST SET MAP: 0.0319, NDCG: 0.0493, PREC: 0.1127
Epoch 1 	 TEST SET MAP: 0.0319, NDCG: 0.0496, PREC: 0.1143
Epoch 2 	 TEST SET MAP: 0.0316, NDCG: 0.0492, PREC: 0.1132
Epoch 3 	 TEST SET MAP: 0.0312, NDCG: 0.0488, PREC: 0.1131
Epoch 4 	 TEST SET MAP: 0.0313, NDCG: 0.0490, PREC: 0.1135
Epoch 5 	 TEST SET MAP: 0.0311, NDCG: 0.0489, PREC: 0.1141
dataset:Amazon_App
Epoch 0 	 TEST SET MAP: 0.0317, NDCG: 0.0495, PREC: 0.1144
Epoch 1 	 TEST SET MAP: 0.0326, NDCG: 0.0505, PREC: 0.1158
Epoch 2 	 TEST SET MAP: 0.0318, NDCG: 0.0496, PREC: 0.1144
Epoch 3 	 TEST SET MAP: 0.0316, NDCG: 0.0492, PREC: 0.1135
Epoch 4 	 TEST SET MAP: 0.0316, NDCG: 0.0494, PREC: 0.1145
Epoch 5 	 TEST SET MAP: 0.0313, NDCG: 0.0491, PREC: 0.1142
dataset:Amazon_App
Epoch 0 	 TEST SET MAP: 0.0307, NDCG: 0.0485, PREC: 0.1134
Epoch 1 	 TEST SET MAP: 0.0318, NDCG: 0.0499, PREC: 0.1160
Epoch 2 	 TEST SET MAP: 0.0316, NDCG: 0.0496, PREC: 0.1153
Epoch 3 	 TEST SET MAP: 0.0314, NDCG: 0.0491, PREC: 0.1140
